# LeakReport
# from new @ |      size  # Pointer Addr
L 0x7f82292a59f5         136  # 0x1cee760
L 0x7f822946d0a2         280  # 0x1cf12c0
L 0x7f822946d054          56  # 0x1cf1450
L 0x7f82293fd1ea         112  # 0x1cf14a0
L 0x7f822946d1f2          80  # 0x1cf13f0
L 0x7f82294bbc42         136  # 0x1cf1220
L 0x7f82294b6cb1          72  # 0x1cee270
L 0x7f82294b6cb1          72  # 0x1cec3c0
L 0x7f82292a1c1a          32  # 0x1cf1580
L 0x7f822924b797          80  # 0x1cf19b0
L 0x7f82292a1c1a          32  # 0x1cf17e0
L 0x7f822946d438        1536  # 0x1cf1ab0
L 0x7f82292a59f5         136  # 0x1cf1a10
L 0x7f822946d0a2         280  # 0x1cf2160
L 0x7f822946d054          56  # 0x1cf22f0
L 0x7f822924b797          80  # 0x1cf23c0
L 0x7f82293fd1ea         112  # 0x1cf2340
L 0x7f822946d1f2          80  # 0x1cf2290
L 0x7f82294bbc42         136  # 0x1cf20c0
L 0x7f822946d438        1536  # 0x1cf24c0
L 0x7f822946d012           8  # 0x1cf2b30
L 0x7f822946cfcf           8  # 0x1cf2ad0
L 0x7f822946d0a2         280  # 0x1cf2bf0
L 0x7f82294b6cb1          72  # 0x1cf31e0
L 0x7f822946d054          56  # 0x1cf2d80
L 0x7f822946d1f2          80  # 0x1cf2d20
L 0x7f82294bbc42         136  # 0x1cf2b50
L 0x7f82292a59f5         136  # 0x1cf2420
L 0x7f8229463449          32  # 0x1cf3270
L 0x7f822946d012           8  # 0x1cf34f0
L 0x7f822946cfcf           8  # 0x1cf34d0
L 0x7f822946d0a2         280  # 0x1cf4e90
L 0x7f82292a1c1a          32  # 0x1cf3510
L 0x7f822946d054          56  # 0x1cf5020
L 0x7f82293fd1ea         112  # 0x1cf5070
L 0x7f8229463449          32  # 0x1cf5150
L 0x7f822946d012           8  # 0x1cf53b0
L 0x7f822946cfcf           8  # 0x1cf5390
L 0x7f82294b6cb1          72  # 0x1cf50f0
L 0x7f822946d1f2          80  # 0x1cf4fc0
L 0x7f822924b797          80  # 0x1cf55a0
L 0x7f822946d438        1536  # 0x1cf66b0
L 0x7f82292a59f5         136  # 0x1cf5600
L 0x7f822946d0a2         280  # 0x1cf6da0
L   0x40501e          64  # 0x1cf6f30
L 0x7f82293fd1ea         112  # 0x1cf6f80
L 0x7f822946d1f2          80  # 0x1cf6ed0
L 0x7f82294bbc42         136  # 0x1cf6d00
L 0x7f82292a1c1a          32  # 0x1cf53d0
L 0x7f8229463449          32  # 0x1cf3240
L 0x7f82294b6cb1          72  # 0x1cf1520
L 0x7f8229463449          32  # 0x1cf7060
L 0x7f822946d012           8  # 0x1cf72e0
L 0x7f822946cfcf           8  # 0x1cf72c0
L 0x7f822924b797          80  # 0x1cf74d0
L 0x7f82292a1c1a          32  # 0x1cf7300
L 0x7f822946d438        1536  # 0x1cf99e0
L 0x7f822946d0a2         280  # 0x1cfa0d0
L 0x7f82294bbc42         136  # 0x1cfa030
L 0x7f82292a59f5         136  # 0x1cf7530
L 0x7f82293fd1ea         112  # 0x1cfa2b0
L 0x7f82294b6cb1          72  # 0x1cfa330
L   0x40500a          72  # 0x1cfa9d0
L   0x40470a         136  # 0x1cfa8c0
L 0x7f82292810ac          20  # 0x1cfab80
L 0x7f8229981186          16  # 0x1cfab60
L 0x7f822946d1f2          80  # 0x1cfa200
L 0x7f8228ebf22a          72  # 0x1cfb490
L 0x7f82292810ac          20  # 0x1cfb450
L 0x7f8228ebf22a          72  # 0x1cfb520
L 0x7f8228ebf22a          72  # 0x1cfb580
L 0x7f8228ebcf6a          32  # 0x1cfb4f0
L 0x7f8228ebfba1          72  # 0x1cfbb80
L 0x7f8229835e31         456  # 0x1d05630
L 0x7f8228ebcf6a          32  # 0x1cfbbe0
L 0x7f8228ec1f2a          48  # 0x1d065a0
L 0x7f8228d5e8ce          16  # 0x1d06580
L 0x7f8228d5e8ce          16  # 0x1d066f0
L 0x7f8228ec1f1d          16  # 0x1d066a0
L 0x7f8228ec1ea8          16  # 0x1d06610
L 0x7f8228ec1f1d          16  # 0x1d06430
L 0x7f8228d5e8ce          16  # 0x1d06ab0
L 0x7f8228ebf22a          72  # 0x1d06b90
L 0x7f8228ec1ea8          16  # 0x1d06ad0
L 0x7f8228ebcf6a          32  # 0x1d06710
L 0x7f822981a693         112  # 0x1cfb8e0
L 0x7f8229981186          16  # 0x1cfabc0
L 0x7f82294b6cb1          72  # 0x1cf7000
L 0x7f822946d0a2         280  # 0x1ce9d10
L 0x7f822946d0a2         280  # 0x1cc6980
L 0x7f8228ec1f1d          16  # 0x1d08320
L 0x7f8228ebf22a          72  # 0x1d08390
L 0x7f8228d5e8ce          16  # 0x1d08370
L 0x7f8228d5e8ce          16  # 0x1d08770
L 0x7f8228ec1ea8          16  # 0x1d087c0
L 0x7f8228ebcf6a          32  # 0x1d08920
L 0x7f8228d5e8ce          16  # 0x1d08c70
L 0x7f8228ec1f2a          48  # 0x1d08950
L 0x7f8228ebf22a          72  # 0x1d088c0
L 0x7f8228ec1f2a          48  # 0x1d083f0
L 0x7f8228ebf22a          72  # 0x1d08dc0
L 0x7f8228ebcf6a          32  # 0x1d08e20
L 0x7f8228ebcf6a          32  # 0x1d08d20
L 0x7f8228ec1ea8          16  # 0x1d08cc0
L 0x7f8228ebf22a          72  # 0x1d1a3a0
L 0x7f8228ec1ea8          16  # 0x1dea5b0
L 0x7f8215ab6bb1          88  # 0x1db9150
L 0x7f822932afe2        1144  # 0x1d09030
L 0x7f8228ec1f1d          16  # 0x1eb9a90
L 0x7f8228d5e8ce          16  # 0x1ebb1d0
L 0x7f82297eb9a9         296  # 0x1eec220
L 0x7f8229973548         856  # 0x1ec19c0
L 0x7f8228ebf22a          72  # 0x1f1d8d0
L 0x7f8228ec1f1d          16  # 0x1ff2390
L 0x7f8229972221          24  # 0x1ff51a0
L 0x7f8228ebfba1          72  # 0x1ffa7a0
L 0x7f8228ec1f2a          48  # 0x2000940
L 0x7f8228d5e8ce          16  # 0x1ffb300
L 0x7f8228ebfba1          72  # 0x1ffa8e0
L 0x7f8228ebfba1          72  # 0x1fb1bc0
L 0x7f8228ebf22a          72  # 0x1eb7610
L 0x7f8228d3a184          48  # 0x2096ca0
L 0x7f8228d3a358         136  # 0x2096dd0
L 0x7f82299829ee          48  # 0x20b29b0
L 0x7f8228d5e8ce          16  # 0x20b52f0
L 0x7f8228ec1f1d          16  # 0x7f8210007370
L 0x7f82299721a3          16  # 0x20b5c10
L 0x7f8228d5e8ce          16  # 0x20b3c10
L 0x7f8228ebf22a          72  # 0x20b2b10
L 0x7f8228d3a184          48  # 0x20b2a50
L 0x7f8228ebfba1          72  # 0x20a9440
L 0x7f8228d3a358         136  # 0x2000a40
L 0x7f8228ebf22a          72  # 0x1d07460
# total allocation requests:  12488 ; max. mem used 288 kBytes
# leak 120775 Bytes	:-(
# .. that is 117 kByte!! A lot ..
WORK TIME - 00:03:00.73
